t_sec,ABack_x,ABack_y,ABack_z
562.27,-0.24707,0.791016,1.213379
562.28,-0.08252,0.452637,1.537598
562.29,0.036133,0.242188,1.801758
562.3,0.115723,0.290039,1.864746
562.31,0.23584,0.205566,1.805664
562.32,0.475586,-0.210938,1.723145
562.33,0.774902,-0.712402,1.655273
562.34,0.88916,-1.01416,1.432617
562.35,0.674805,-1.070801,1.136719
562.36,0.46582,-1.056152,0.825195
562.37,0.31543,-0.848145,0.435547
562.38,0.114258,-0.658203,0.0625
562.39,-0.058105,-0.31543,-0.15918
562.4,-0.268066,0.005371,-0.155762
562.41,-0.498047,0.371582,-0.043457
562.42,-0.619141,0.787598,0.174805
562.43,-0.802246,1.183105,0.737793
562.44,-1.056152,1.53418,1.272461
562.45,-0.717773,1.228027,0.865723
562.46,-0.583496,0.701172,1.243652
562.47,-0.322754,0.225586,1.311523
562.48,-0.321289,0.115234,1.708008
562.49,-0.028809,-0.046387,1.723633
562.5,0.384766,-0.244141,1.855469
562.51,0.581543,-0.369629,1.968262
562.52,0.551758,-0.449219,1.800293
562.53,0.521484,-0.670898,1.557617
562.54,0.462402,-0.755371,1.211426
562.55,0.599609,-0.711914,0.930176
562.56,0.662109,-0.604492,0.563965
562.57,0.668457,-0.456543,0.23877
562.58,0.571777,-0.279785,0.107422
562.59,0.401855,-0.049316,-0.020996
562.6,0.427734,0.20166,-0.120117
562.61,0.349609,0.515137,0.009277
562.62,0.158203,0.771484,0.133301
562.63,-0.058105,0.980469,0.320801
562.64,-0.118652,1.102539,0.44043
562.65,0.000488,1.092773,0.712402
562.66,0.083496,1.027344,1.027832
562.67,0.105957,0.811035,1.041504
562.68,0.274902,0.587891,1.172852
562.69,0.541016,0.344727,1.567871
562.7,0.742188,0.052734,1.898926
562.71,0.72998,-0.115723,2.01416
562.72,0.637207,-0.075684,1.989258
562.73,0.662598,-0.179688,1.821289
562.74,0.786621,-0.418457,1.598145
562.75,0.746094,-0.734863,1.39502
562.76,0.640625,-0.874512,1.067383
562.77,0.501953,-0.910156,0.81543
562.78,0.29248,-0.805664,0.383789
562.79,0.15332,-0.633301,0.078125
562.8,-0.089355,-0.437012,-0.041504
562.81,-0.339355,-0.232422,-0.273438
562.82,-0.612305,-0.00293,-0.205566
562.83,-0.745117,0.250977,0.056641
562.84,-0.779785,0.562988,0.294922
562.85,-0.878906,0.880859,0.648926
562.86,-1.040039,1.257324,1.226563
562.87,-0.971191,1.152344,1.223145
562.88,-0.693359,0.708984,1.179199
562.89,-0.455566,0.186035,1.508789
562.9,-0.287598,-0.371094,2.019043
562.91,0.144043,-0.552734,2.040039
562.92,0.593262,-0.504395,1.843262
562.93,0.856445,-0.612305,1.918457
562.94,0.875977,-0.65332,1.677246
562.95,0.914551,-0.657227,1.34668
562.96,0.878906,-0.835449,1.037598
562.97,0.869629,-0.747559,0.662598
562.98,0.946289,-0.520996,0.428223
562.99,0.8125,-0.356445,0.240234
563.0,0.553711,-0.179688,-0.083496
563.01,0.409668,0.053223,-0.250977
563.02,0.283203,0.403809,-0.120117
563.03,0.093262,0.6875,0.021484
563.04,-0.107422,0.990234,0.227051
563.05,-0.219727,1.23291,0.384277
563.06,-0.182617,1.323242,0.788574
563.07,-0.239258,1.125488,0.947754
563.08,-0.120117,0.90918,1.104492
563.09,0.127441,0.510254,1.233887
563.1,0.243164,0.163086,1.670898
563.11,0.320801,-0.021973,1.979492
563.12,0.453125,-0.066406,2.026855
563.13,0.571777,-0.160645,1.954102
563.14,0.765625,-0.473633,1.875977
563.15,1.020996,-0.851563,1.67334
563.16,0.923828,-1.05957,1.217773
563.17,0.696777,-1.197754,0.953125
563.18,0.563477,-0.996582,0.633301
563.19,0.189453,-0.696289,0.314941
563.2,-0.138184,-0.38916,-0.012695
563.21,-0.289063,-0.159668,-0.252441
563.22,-0.559082,0.149902,-0.223145
563.23,-0.765137,0.631348,-0.001465
563.24,-0.938965,1.101074,0.339355
563.25,-1.206543,1.33252,0.825195
563.26,-1.274902,1.294434,1.001953
563.27,-0.945313,0.879883,1.01709
563.28,-0.581055,0.30957,1.151367
563.29,-0.425781,0.016602,1.408691
563.3,-0.357422,-0.141602,1.487305
563.31,-0.069824,-0.309082,1.578613
563.32,0.26123,-0.34668,1.788086
563.33,0.319824,-0.376465,1.682617
563.34,0.443848,-0.46582,1.637207
563.35,0.463379,-0.57959,1.383789
563.36,0.508789,-0.689941,1.111816
563.37,0.666992,-0.709473,0.912109
563.38,0.748535,-0.59082,0.539551
563.39,0.779785,-0.405273,0.245117
563.4,0.775879,-0.213379,0.098633
563.41,0.731934,-0.083008,-0.050781
563.42,0.67334,0.095215,-0.050781
563.43,0.508301,0.350098,0.044434
563.44,0.21875,0.629883,0.28418
563.45,-0.01709,0.871582,0.436035
563.46,-0.055176,1.081543,0.716797
563.47,0.026367,1.219238,0.970703
563.48,-0.029785,1.225586,0.949707
563.49,0.086914,1.037109,1.009766
563.5,0.284668,0.716797,1.252441
563.51,0.505859,0.328613,1.645996
563.52,0.611816,-0.047852,1.986328
563.53,0.547363,-0.110352,2.099609
563.54,0.493164,-0.166016,1.941406
563.55,0.657227,-0.476074,1.757813
563.56,0.788086,-0.78125,1.501953
563.57,0.717285,-0.994629,1.255859
563.58,0.563477,-1.099609,0.95166
563.59,0.394043,-1.044434,0.640137
563.6,0.172363,-0.869629,0.212402
563.61,0.00293,-0.655273,0.014648
563.62,-0.231445,-0.379883,-0.160645
563.63,-0.469727,-0.064941,-0.305176
563.64,-0.686523,0.306152,-0.139648
563.65,-0.647949,0.533203,-0.015625
563.66,-0.655273,0.75293,0.226563
563.67,-0.705566,0.934082,0.426758
563.68,-0.904297,1.068359,1.244141
563.69,-0.84668,0.874023,1.333984
563.7,-0.738281,0.272949,1.387695
563.71,-0.553711,-0.26123,1.665527
563.72,-0.327637,-0.405273,2.064941
563.73,0.140625,-0.472656,2.086426
563.74,0.447754,-0.413574,1.944824
563.75,0.635742,-0.450684,1.925781
563.76,0.699219,-0.484375,1.550781
563.77,0.803711,-0.697754,1.404297
563.78,0.741211,-0.908203,0.984375
563.79,0.815918,-0.700684,0.744141
563.8,0.784668,-0.502441,0.50293
563.81,0.504395,-0.293945,0.152344
563.82,0.310547,-0.04834,-0.194824
563.83,0.265625,0.161133,-0.169434
563.84,0.213379,0.416992,-0.073242
563.85,0.152344,0.75293,0.111816
563.86,0.091797,1.057617,0.33252
563.87,0.102051,1.260742,0.537109
563.88,0.17334,1.25,0.736328
563.89,0.164551,1.067383,0.889648
563.9,0.222656,0.963867,1.111816
563.91,0.30127,0.72168,1.1875
563.92,0.470215,0.457031,1.310547
563.93,0.606934,0.159668,1.685059
563.94,0.696289,-0.089355,1.897461
563.95,0.655762,-0.234863,1.930664
563.96,0.698242,-0.404297,1.791992
563.97,0.803711,-0.693848,1.638672
563.98,0.847168,-0.912109,1.36084
563.99,0.751953,-1.072754,0.996582
564.0,0.609863,-1.121582,0.689941
